id,geo_score
62965,-3.1
198527,0.34
155246,1.72
40421,-6.55
39860,-9.31
53816,-2.41
81051,-10.0
184198,0.34
82015,-5.17
4011,-9.31
22255,-5.86
87009,1.03
168730,-0.34
68277,1.5300000000000007
55017,-5.86
31482,-2.1699999999999995
137689,7.24
80816,-5.17
201130,4.76
53964,1.72
89030,-1.72
63246,7.93
46364,0.34
54891,0.03999999999999959
161491,-15.799999999999997
196574,-7.93
16839,6.55
219865,1.72
20554,8.62
271049,1.03
151219,-1.03
43155,
260223,2.41
239029,-2.41
47040,
108028,-1.03
210159,10.0
8590,-19.36
272994,
117564,-6.55
151342,8.62
73971,-12.770000000000001
30980,5.17
45227,-7.24
261417,5.86
239599,-7.93
181795,-3.79
156510,-11.850000000000001
21922,17.270000000000003
207973,-6.55
283603,5.86
119295,3.79
64922,-9.06
234534,6.55
222417,2.41
64276,7.93
136069,
121331,
90710,1.72
141134,-10.0
152804,
91192,-3.1
251460,-3.1
172113,1.03
241968,5.86
67976,5.17
254923,4.48
218833,-9.31
34116,3.1
30451,-5.17
135566,-19.43
171889,10.69
162177,6.55
269739,5.86
15876,-3.79
155439,-1.03
263041,9.31
126141,
29491,1.72
202168,2.6200000000000006
169541,-10.07
187204,-5.17
37674,7.24
46102,-5.86
90438,2.41
222223,9.31
210065,-2.41
148490,-1.72
44306,-10.0
66649,-6.55
255092,3.79
222068,2.41
137286,
235009,-11.059999999999999
68980,-5.109999999999999
267831,0.34
186876,10.0
109978,9.31
75533,-5.17
80965,-3.1
8485,5.86
211292,
220659,-14.0
199936,3.1
93972,-10.0
242678,5.17
157859,1.72
153147,-38.5
275298,7.829999999999999
81751,5.86
135491,7.93
226231,-1.03
184726,-4.48
280765,1.03
219777,6.55
8741,
226964,7.24
257860,7.93
162771,1.03
242061,8.62
243209,-5.17
77292,10.0
267380,3.79
95776,-1.72
193871,7.93
64754,8.62
49122,5.800000000000001
275504,2.41
49792,11.32
41527,-4.91
163339,7.24
68300,8.11
175205,7.93
271058,7.93
146992,-3.1
20080,-0.34
203114,-14.39
244358,
72606,-3.1
95188,1.72
240882,-0.34
207689,-10.0
241887,2.41
180075,2.41
132294,-6.55
137524,8.62
221829,-6.55
276524,5.44
78155,-9.31
99859,7.24
62728,-5.86
214051,1.72
130763,-5.86
170481,6.5600000000000005
213866,8.62
183445,-6.55
204893,-7.24
114657,4.48
110856,-3.1
175378,2.41
156288,-7.93
45837,-3.1
12993,-24.740000000000002
63295,3.83
179601,16.96
271997,18.8
214454,5.86
104020,
141428,5.86
146368,-7.24
23725,-4.48
54188,-5.57
200920,-6.55
276416,19.650000000000002
272175,-5.17
33545,6.55
223922,7.93
227708,
127004,-8.62
124645,-8.11
258032,-0.7500000000000009
118298,10.0
107050,
127363,9.31
81202,5.17
92309,10.0
884,-2.41
192592,-4.48
157087,1.03
128643,-5.17
100717,
140661,-5.87
178673,19.17
22912,-9.66
213915,-5.86
197381,3.79
270706,
111493,7.659999999999999
29301,-4.48
139670,-4.48
38159,-6.55
209906,1.03
135277,-16.610000000000003
261070,-7.24
76163,7.24
255987,-2.5900000000000007
22668,9.31
135240,-4.3599999999999985
169855,3.79
216562,5.86
162287,-4.48
162828,7.66
176237,-8.62
99348,6.55
262858,-0.34
5209,3.79
114895,7.93
61594,3.1
128268,-7.93
248535,-2.41
51050,-9.31
254229,1.03
22958,-4.48
74264,0.34
189236,-3.1
189892,-10.309999999999999
164826,5.86
141084,-3.0200000000000014
123441,30.549999999999997
94078,11.51
189479,10.0
195423,8.62
254260,-15.350000000000001
4571,3.1
136375,1.38
39770,4.48
199126,-0.34
257534,-10.0
249074,-3.1
52295,1.72
116829,5.86
282809,-7.24
174351,-36.72
132101,-24.590000000000003
282694,
257763,-1.72
253439,3.72
203586,3.1
95871,-10.0
79921,-10.0
29659,-7.24
244736,-2.9799999999999995
24538,2.41
222311,-4.48
136844,1.72
226202,-1.03
114007,-0.34
14702,6.55
280234,-7.93
110715,-1.72
95996,
89920,17.72
259094,-22.089999999999996
170709,-5.86
176068,1.72
119848,6.56
284799,-3.1
153445,4.48
259671,2.41
112701,2.41
168112,0.34
134211,-17.630000000000003
180025,-1.03
238473,-0.34
247055,8.62
91516,10.0
121206,-3.01
180946,1.7399999999999984
95522,
258561,-6.66
190052,-8.62
84883,1.72
8675,-5.86
122440,
149363,
46495,-1.03
92435,-7.24
217290,-4.48
120848,
97197,6.55
47808,-4.48
133723,2.41
96895,12.210000000000003
53552,7.93
183824,-7.93
247643,
3547,-5.17
72723,-2.41
114612,-10.0
76106,-3.1
278051,-2.41
199156,8.62
249208,9.31
272474,-5.17
104429,3.1
184984,
197579,6.55
158146,0.34
254069,-3.79
212441,8.62
107097,3.1
272585,2.41
37613,-2.41
233118,-0.34
164780,9.31
93690,1.72
52221,5.030000000000001
277870,3.1
222290,-2.5499999999999994
264659,-3.79
143966,-5.17
240934,-1.03
217698,7.93
163451,9.31
103174,0.34
143922,6.55
136289,-3.1
151821,-1.03
165679,12.829999999999998
54343,24.31
204184,-8.62
119295,-7.93
96256,-9.31
36438,-7.24
34837,5.86
238061,0.48999999999999927
20824,
173922,-0.7800000000000002
100283,8.62
17344,-1.72
41029,22.18
225295,-4.48
193285,10.0
234242,-5.17
26249,-9.209999999999997
269888,-7.93
119071,4.48
261659,-5.86
82518,1.03
234162,-5.86
242574,-7.24
66960,-8.62
252816,9.31
213319,5.669999999999998
131205,-5.17
168658,-1.03
117435,5.17
89054,-10.449999999999998
157489,-3.1
194780,4.48
71766,3.58
240179,8.62
168224,6.55
251575,8.62
236655,1.03
55781,-5.17
253903,5.17
183703,-10.0
179067,2.41
122942,7.93
71835,-3.79
75231,-0.34
174168,-5.01
260772,7.429999999999999
34813,9.31
213263,-1.03
184683,1.72
63777,-1.03
196917,-10.0
245790,-4.48
103921,-7.93
55529,-4.48
68362,5.86
20850,-0.34
154724,1.72
126275,9.31
233708,-8.62
202208,-5.17
100585,1.03
155183,6.55
151193,10.0
132473,3.79
17334,-3.1
90847,3.79
97023,
190637,-25.589999999999996
222412,-4.39
111471,-2.41
207778,-4.48
156692,3.79
53574,-1.03
82371,-3.1
165057,-5.299999999999999
146380,8.62
267564,
197462,7.24
222717,10.0
145229,7.790000000000002
269359,7.24
89021,-2.41
266958,6.55
110323,7.49
91489,-10.0
244008,5.59
197683,4.48
123301,4.48
196626,4.48
114953,0.34
37482,-1.72
164278,5.86
145493,-5.51
57392,6.55
39101,18.75
246538,3.79
3385,5.17
211268,10.0
136209,-5.17
194676,-5.17
27080,-11.8
50647,-10.0
248589,-3.79
198788,-5.86
19274,-2.41
121582,-7.93
219926,-1.03
196504,-1.72
19342,-2.41
166425,7.24
209309,8.62
6727,-2.41
37600,
6352,-7.24
185781,3.1
1400,9.32
94153,0.34
66459,-1.72
175092,1.72
157553,-24.68
107731,-4.48
3106,-8.62
91711,-7.24
81316,1.03
129945,-7.93
171460,4.289999999999999
196778,-1.72
266728,1.03
12802,5.17
77338,9.31
115449,1.72
175391,-7.93
130185,6.55
9391,-5.17
69087,-3.8699999999999997
203501,1.03
130254,7.24
183404,7.93
247821,3.459999999999999
186560,6.55
220548,9.31
231671,7.93
31255,
90204,9.31
125820,1.72
66975,-1.03
184976,-2.41
140442,10.0
178156,-5.19
32769,-5.86
112174,4.48
162077,-8.62
19870,-8.62
153342,
137611,-3.79
57934,5.17
2563,-10.0
275613,-21.990000000000002
281079,2.41
24479,10.0
187730,-10.0
37295,-18.71
9346,
19872,11.690000000000001
133591,-17.93
218000,-3.79
255325,8.62
284328,3.79
78998,7.93
277225,-3.1
258075,5.17
48584,5.86
5650,-31.409999999999997
202103,-7.93
81498,10.0
223106,
85532,-7.24
82919,-4.48
200782,7.93
128525,4.48
272439,-3.55
71176,0.34
32888,8.62
208179,-4.48
258458,19.15
259126,6.55
144012,-15.5
63053,1.72
162453,-5.17
163322,-8.62
36013,3.1
127575,7.24
159030,-8.62
20418,
168468,-5.17
96598,-2.41
162769,-5.86
267865,6.55
186322,3.8099999999999996
138292,-14.86
197092,6.55
121253,-3.1
105413,7.24
179133,5.86
184345,-4.48
172941,1.72
206697,3.79
47986,-1.72
135862,-2.41
132771,-3.79
89474,-5.86
66200,-0.34
97141,4.48
135635,-13.209999999999999
193977,3.79
63658,5.17
17114,-5.86
243322,-1.03
71832,-4.090000000000001
166571,1.72
114177,6.55
193843,
154809,10.0
15267,
220312,7.24
125923,11.969999999999999
169115,-1.72
88598,-1.450000000000001
175994,-3.1
53339,1.72
278955,8.18
246693,-10.0
277102,-8.62
93452,
262455,2.0999999999999996
147358,4.48
96844,1.72
252998,4.71
194256,-0.34
43843,-9.31
212701,18.55
183283,-3.1
272766,4.48
163500,21.509999999999998
17925,22.050000000000004
80184,-3.79
154059,2.41
82638,-9.31
105059,-6.55
23110,-12.790000000000001
183004,0.34
270079,1.03
266714,-10.0
261133,-0.34
268085,-3.1
88725,-10.0
206239,8.62
180660,-5.86
240155,-9.040000000000001
184937,2.41
2259,-19.85
77273,10.0
67919,
193874,10.0
195497,1.72
70763,-0.34
76332,-1.03
68595,2.41
173844,-5.17
146798,9.31
258181,8.62
213334,1.72
182894,3.79
260059,-0.34
218964,-1.03
189765,-10.540000000000001
149542,-3.79
190965,-10.0
15873,-7.24
16565,-8.62
116667,-5.86
30535,0.34
80633,
199713,-1.72
113055,13.37
223316,-5.86
57364,5.17
12425,-20.799999999999997
233150,-5.86
132817,
1892,-5.86
165387,5.4
234663,-7.93
255637,6.55
239348,-2.630000000000001
30724,1.41
167747,3.1
102694,-0.34
201485,7.93
135036,-7.93
207529,10.0
69798,-6.55
228358,2.41
57031,7.93
160377,8.62
197130,-5.17
133109,-7.24
188327,-3.1
25586,-1.72
178450,-4.48
27738,-3.1
178325,1.72
36264,-1.5399999999999991
25760,2.6
233911,-1.72
210452,0.34
19736,-6.55
139109,
238773,4.48
166127,7.24
45630,-10.0
189152,1.72
465,-6.800000000000002
201370,-7.24
215473,-3.1
198061,-7.93
256010,9.03
278558,-3.1
160688,10.0
219156,5.17
212704,-5.17
132627,7.93
170860,37.58
144912,3.79
232459,-3.79
191998,1.3599999999999994
80490,5.86
192198,7.24
129275,7.93
55734,-3.1
238099,-0.34
176372,7.93
3419,0.34
150115,4.48
191054,4.48
54808,-7.93
64775,7.049999999999999
208574,-10.0
256180,
45728,3.79
160003,2.41
16843,-5.86
213694,-2.41
63821,-0.34
261021,0.34
33948,-1.72
138,-8.62
146305,-1.72
124548,
96969,-9.770000000000001
165610,4.48
222845,0.34
223085,0.34
233297,3.79
85900,9.31
53748,
45763,-5.17
134247,1.72
164904,-1.03
31629,0.8699999999999992
215579,-6.55
165708,-2.41
4156,-7.24
112879,4.48
259770,1.72
61769,-10.0
88522,-1.72
220886,-19.270000000000003
169649,-7.740000000000002
54710,
250142,3.24
95737,-6.319999999999999
187676,3.1
265865,21.66
113375,-10.0
82110,1.72
1063,
155570,-7.93
174919,-7.24
278518,-10.0
231804,-3.79
124589,-1.03
89485,7.93
215659,-3.6100000000000003
134865,6.55
129325,-2.41
233935,4.48
45610,-8.62
80095,-8.62
90163,-8.62
22579,4.48
108286,7.24
113492,8.62
27452,-8.62
262864,2.27
10615,-1.72
156321,-4.48
135228,-7.079999999999998
244154,-9.31
106846,
141213,-4.330000000000002
192679,4.3100000000000005
210007,-6.55
106618,2.41
283831,-2.41
26129,-3.2399999999999998
236934,-21.930000000000003
65082,8.62
137287,23.139999999999997
106662,-4.48
254385,1.72
196881,1.9499999999999995
220098,2.41
226779,10.32
83557,7.24
76277,-0.34
79877,-9.31
216180,-5.17
171887,5.4
210500,-10.0
219688,
106771,-9.31
225285,-7.93
191356,3.1
75682,1.72
109586,-1.72
27144,3.1
99004,-19.099999999999998
159548,-1.72
60034,-4.48
118334,4.48
195056,1.03
264254,3.79
37789,-7.24
170473,-6.880000000000001
134375,5.17
56513,-0.34
19577,
169260,7.93
18531,-9.31
55405,8.62
103023,5.17
120170,2.41
87971,8.62
213166,-7.93
103874,
266610,10.0
26451,-25.03
164614,
58576,9.31
160129,24.63
5678,8.62
70010,9.31
4545,-10.0
232174,-7.42
33268,
116401,
180227,
5840,-7.24
263100,
202947,0.34
36038,3.1099999999999994
79622,-1.72
83964,-1.03
10163,6.55
122188,
238563,-1.72
267173,10.0
278425,9.31
133354,-3.1
142326,-6.55
261197,5.8100000000000005
13333,1.03
177488,1.72
243778,21.5
230471,-10.0
81976,-8.66
27140,-19.63
172168,-6.55
151492,-9.31
150351,-2.41
175144,8.799999999999999
215899,-16.66
178352,5.86
178791,7.93
238100,7.93
226305,-4.48
232456,3.79
267637,-1.72
39514,2.41
158276,-0.34
29920,-6.55
204103,2.41
223938,-5.17
160604,10.0
196207,7.93
281709,1.6699999999999995
253653,5.86
127364,-7.24
172382,-8.62
241179,7.24
160871,2.119999999999999
49996,0.34
263406,-9.31
203616,5.17
228406,-10.0
280562,0.34
217909,3.1
97762,10.0
108460,
10062,8.62
141294,-7.24
152212,-25.86
256593,-10.0
283374,-1.72
97361,3.79
114392,3.79
62456,3.1
29500,-10.0
10296,-0.34
10047,-5.17
88061,13.36
148970,-0.34
245721,9.31
74159,-3.1
143168,-7.93
282006,-3.79
198979,5.86
113858,
257203,-4.48
164692,-6.25
230708,1.03
93180,-12.23
66369,6.55
95937,
102288,7.24
111916,5.86
95980,0.34
255541,
251985,-7.24
33280,-1.03
119145,-10.0
17452,-6.66
282169,5.86
89941,-5.17
89359,9.31
93067,-7.24
262552,2.41
73093,8.62
233784,1.03
64638,8.62
94205,14.709999999999997
236207,-4.48
261683,1.03
64793,5.86
172742,5.17
254330,-22.13
250625,-3.79
22592,-8.62
236118,-2.41
244537,18.92
236119,-9.31
140870,7.93
98294,-3.79
187812,14.420000000000002
131916,12.94
198530,9.31
160152,-9.31
175881,-7.24
42330,-5.86
75540,11.860000000000001
95302,6.55
48795,-1.72
223406,1.72
75433,3.79
30534,1.03
102859,
129314,13.699999999999998
107520,-1.03
279586,9.31
78298,16.95
117824,-1.03
283066,1.03
26659,-7.24
74533,-25.08
172275,-6.55
98027,
77613,10.0
72789,-0.34
238430,-7.970000000000001
229462,-29.750000000000004
17690,12.82
110646,-0.34
215471,-2.150000000000002
9739,-9.31
251312,5.17
245284,9.31
156071,5.86
132583,-5.17
235508,2.41
191298,-4.48
54857,-13.39
69678,5.3100000000000005
120027,3.1
180099,8.62
232797,19.04
123650,5.7
186120,-9.31
13442,3.79
234171,-3.79
157855,2.41
237035,-3.79
242924,-8.61
269185,3.79
236034,-1.72
196842,-9.31
181549,7.93
187274,-1.03
80153,-7.93
175243,-6.55
126148,-1.4000000000000001
254642,-5.86
50403,
169422,-4.48
274419,1.9900000000000007
145320,-1.72
94516,-9.31
96516,-7.24
238106,-8.62
209309,-25.669999999999995
23044,-10.0
127262,-10.0
240022,-1.03
88578,7.93
13271,-3.79
83403,8.62
92800,1.6799999999999993
158055,-3.79
92384,-7.93
55081,-1.72
112214,9.31
122843,
50547,6.55
109364,9.93
82788,3.79
40501,4.48
132492,-4.0299999999999985
53150,-0.34
157981,6.55
152876,-23.7
35747,1.2599999999999998
15160,-3.17
155717,-8.16
270840,0.6300000000000026
255231,4.48
13823,-5.86
76945,-5.880000000000001
77126,2.0799999999999983
197465,17.740000000000002
66266,-8.62
118452,-1.72
202726,8.62
237300,-5.86
93541,-5.86
152895,3.1
185235,-1.03
181634,7.93
125972,
172711,7.24
183045,-1.72
269149,-4.21
131151,6.55
10657,-8.540000000000003
283136,1.72
201641,-3.1
15418,-3.79
80161,3.79
250710,-7.24
7260,9.31
29300,1.72
105198,9.31
277115,-10.0
260198,-7.93
55886,3.79
232732,8.62
14648,1.03
156342,7.93
161818,-10.0
82443,1.03
209039,2.41
951,6.55
8191,-5.17
188770,-3.0699999999999994
207525,10.0
176316,3.1
162009,3.4300000000000006
137277,-4.48
269439,4.48
242659,10.0
255682,-7.93
338,
28975,8.62
262642,-4.48
182020,-9.290000000000003
116792,9.31
51460,9.31
201534,-10.0
64092,3.79
40740,31.450000000000003
7297,-8.62
239135,-8.62
14982,-6.55
102875,7.24
195398,-2.41
130241,-0.34
202591,-5.17
228264,-1.72
153795,-4.450000000000001
97930,5.17
170962,6.55
222917,-1.03
212477,-5.17
195357,10.0
215887,-17.85
120655,1.7600000000000002
175439,8.62
85713,-3.669999999999999
1449,6.55
282083,-9.31
30758,-15.83
260251,-16.01
230574,10.0
219169,6.55
284104,-1.72
62180,-1.979999999999999
173065,9.31
134929,4.48
263334,-10.0
154946,10.0
109309,
30372,-0.34
35544,10.0
51519,3.79
73700,1.72
160535,
248643,-5.17
201688,9.31
236534,1.72
233865,-0.34
251252,-7.93
150021,8.450000000000001
216352,-5.880000000000001
147800,5.17
111043,5.17
139949,-3.1
173776,5.539999999999999
238196,0.05000000000000178
105238,4.48
33065,-0.34
2644,-5.86
231508,-1.72
7756,4.48
113310,3.1
198701,-5.17
12884,1.03
257696,
227324,4.48
27427,-10.93
136122,1.72
136819,1.72
152868,-10.0
161208,8.62
143214,-0.34
25791,
244338,1.520000000000001
21757,7.93
28633,10.0
213870,7.24
25753,8.62
155511,-10.0
272263,-8.62
282325,-18.55
238996,-13.07
220713,-1.03
1422,-13.26
55536,3.1
196243,7.93
152328,-9.31
240139,-9.54
205173,-0.9599999999999991
246444,
164236,-0.34
18584,-0.7600000000000007
232794,-0.34
216270,3.1
11936,-11.09
259894,-9.31
92809,-6.55
15213,-3.210000000000001
63205,-6.65
100500,
76718,26.73
195108,3.1
13269,
85808,-10.0
200725,-0.34
271152,-8.62
239603,3.79
162842,1.0599999999999996
243462,-1.03
267475,4.48
72592,3.1
161683,-8.62
23220,-13.27
140472,8.62
27357,-3.79
22958,1.72
268617,2.41
227436,-23.62
271156,3.79
221329,7.24
61423,5.86
236335,8.62
95933,7.95
279290,-6.55
243833,-6.629999999999999
161569,-0.7100000000000009
244449,-4.48
72540,-9.31
117971,-8.62
152160,8.62
54579,3.1
54352,7.93
69257,-0.34
269084,-5.86
209925,5.17
42144,1.03
178359,3.1
145479,-1.03
217367,-7.24
107122,7.93
251127,1.9599999999999997
221616,-9.31
160333,6.55
155358,-22.16
235922,-6.55
140828,-6.409999999999998
136784,8.62
198480,6.55
272667,9.31
64272,-1.03
26155,10.24
136205,10.0
211208,-8.62
44880,-29.249999999999996
7174,1.03
6270,11.810000000000002
102533,-9.31
210379,-3.1
166779,-5.17
22845,2.41
107921,3.79
151735,7.93
234719,-3.79
253290,1.03
278536,4.48
243237,6.55
59856,-7.8100000000000005
208058,10.0
168519,-3.1
235946,-0.4800000000000002
128896,1.72
57186,3.1
200902,-4.58
242745,-4.48
136611,
131394,2.41
233446,5.86
217325,7.24
178903,-7.24
116786,-0.34
210949,
93041,1.2899999999999996
212015,-1.03
150003,0.34
139730,-8.62
211204,0.10999999999999943
101869,3.2800000000000002
46198,7.24
162790,3.1
249367,
226303,-8.62
107808,10.559999999999999
266407,5.17
121651,7.24
66593,4.48
178606,8.62
84996,-1.03
218106,-1.03
156634,-13.849999999999998
277910,-3.79
211662,4.48
6702,-8.62
95218,-1.03
59829,18.270000000000003
97555,-14.850000000000001
278820,8.62
132612,3.79
23453,-1.03
188724,-2.41
42132,-4.48
28000,2.41
136772,15.95
79601,-1.03
157712,-4.9
158366,
257238,21.24
226689,3.030000000000001
219990,8.879999999999999
189864,0.34
116590,14.29
60439,1.799999999999999
208357,-1.72
138908,-7.09
118761,5.17
237730,-8.62
158777,9.31
156599,7.93
156011,-2.41
15325,-3.1
274900,7.24
138363,23.76
270701,-3.79
185179,-2.41
149048,-9.31
283525,-20.07
143976,-9.31
178735,2.41
6358,1.72
223933,10.0
145523,8.62
189885,4.48
239191,-3.95
218029,7.93
48164,14.489999999999998
235583,19.82
37890,4.48
101813,-25.490000000000002
277450,-10.0
49797,9.280000000000001
252560,-3.79
29028,-1.72
76404,5.17
137707,1.03
134647,1.03
18506,9.31
154041,-0.34
43169,10.940000000000001
132067,-5.86
108768,3.1
62847,-7.24
171399,-2.41
145996,5.86
260215,-2.41
79986,-5.86
233416,-10.760000000000002
65453,3.79
54722,-7.24
211854,-0.34
231451,0.34
112590,5.17
80011,-1.72
278751,2.1900000000000004
234002,3.79
221680,-9.31
111184,-6.55
35596,1.03
63267,1.72
275526,-8.62
27260,0.34
6300,7.24
160371,-7.93
274617,2.26
182888,-1.72
49257,-3.79
124734,-10.0
252986,-1.72
217925,-7.93
2288,-9.31
183291,2.41
71621,-7.93
242378,9.31
216062,8.62
213555,-7.93
42107,-7.93
272202,0.34
213372,5.86
258096,-7.24
166535,1.72
207211,-3.79
216179,-2.41
201411,-5.86
275769,-9.31
204615,5.17
174814,-4.48
259289,10.0
47531,-10.0
271974,-2.41
6198,7.93
115957,9.31
1680,-2.4000000000000004
218673,14.7
180576,1.03
59222,-22.790000000000003
179699,-12.469999999999999
231979,5.17
65139,9.31
247018,-9.31
177184,-1.03
138780,-2.41
198595,4.48
217541,1.72
100527,5.86
110376,7.620000000000001
238764,-9.31
47472,3.79
252288,-1.72
34264,-3.1
200975,7.24
123360,3.79
160577,7.93
128525,5.86
3141,-3.1
170392,-0.22000000000000064
857,-3.1
75563,-3.1
70782,7.93
274084,3.79
200064,-8.62
127786,-0.34
280124,-5.86
259849,3.79
140377,-1.9600000000000009
144232,-9.129999999999999
273263,3.1
251824,-1.9899999999999993
202026,-3.1
80122,5.86
45554,4.48
265446,-8.62
64534,
68948,-40.650000000000006
31053,-12.719999999999999
225413,-0.6099999999999994
209041,-3.79
90679,3.79
156335,-15.560000000000002
115040,-8.62
85835,0.34
261230,-7.93
3245,1.72
98877,-1.72
10315,8.62
59632,-6.55
67347,-8.62
117338,4.48
54023,-7.7700000000000005
153226,
46680,-3.1
244230,3.79
243676,8.62
217141,-2.83
162390,-0.34
185735,-8.26
243507,
252522,-9.31
10960,-5.86
118342,-6.55
166895,-9.31
46592,-7.24
104517,
214303,10.0
102996,9.31
113518,-10.0
25567,2.3199999999999994
79782,3.79
113464,
65432,3.1
163367,1.03
28099,5.86
197916,5.86
270611,5.86
102312,10.0
218248,-1.72
140375,-5.86
256715,3.79
85828,-6.73
113955,7.24
77622,7.24
93486,6.55
239287,4.48
69814,-1.03
271893,-2.41
239882,-9.31
189912,5.17
229927,4.48
108692,-6.580000000000001
67788,-8.62
175738,3.1
273324,-0.34
547,-5.17
231657,10.0
126475,3.79
224614,1.72
174107,-7.24
100846,4.48
66129,-6.220000000000001
120015,3.1
100964,-1.72
114541,-0.34
115272,8.62
206148,-3.1
216903,-8.62
215203,8.400000000000002
252933,3.79
130775,
229340,-1.03
8229,-26.12
92905,-5.86
201022,3.1
52198,-1.72
164597,8.62
21564,-3.5499999999999994
279628,-1.03
164469,-1.03
40184,-4.25
896,-3.1
234972,-9.05
115124,-7.24
129757,-7.24
192155,-8.670000000000002
64802,0.5399999999999999
96741,-8.54
5950,7.93
32193,3.1
12555,-3.79
61650,-4.48
269550,-9.31
70737,1.03
131280,1.72
111423,-5.17
269934,-8.62
189363,-15.459999999999999
154320,1.72
128101,-1.5199999999999994
205207,-1.03
179870,-1.03
143583,6.55
192758,-1.03
56923,-9.31
279046,2.41
241056,9.31
271708,7.93
111220,5.86
194876,0.34
251666,-5.17
57700,6.55
92000,-7.97
203400,-10.69
3406,
267562,0.34
27243,3.1
24403,-3.79
124574,-12.47
263509,1.72
221269,-5.41
170259,7.93
208282,4.15
278641,-7.93
56354,
117415,4.48
235041,-5.17
106799,-9.31
240466,-9.020000000000001
166033,-10.0
67535,-23.130000000000006
255443,-0.34
158340,3.1
144003,13.120000000000001
222140,9.370000000000001
163241,6.55
54080,2.41
167439,20.05
106398,21.769999999999996
196027,-29.07
255663,-5.86
54970,-7.93
170903,-3.79
259487,-8.62
251864,5.86
194891,-2.41
77448,2.41
36958,-6.55
60881,-10.71
245104,-9.09
97338,3.1
97403,-5.86
14969,-6.55
9641,-5.86
276736,0.34
14643,-1.03
1942,-2.41
254847,-8.62
48856,-10.0
18881,-6.55
214941,-2.41
39649,3.1
248883,10.0
277611,9.31
270581,7.24
215293,-7.93
249547,-1.72
268750,-3.79
4304,-5.86
278802,-7.93
173553,19.5
68212,8.62
130072,-2.41
249282,0.34
270056,-8.62
168547,5.17
217532,-2.41
5111,-19.189999999999998
36869,-5.17
51296,-4.48
20143,-2.41
130769,-0.34
89186,-5.17
118083,1.72
249502,-7.24
129284,3.1799999999999997
81492,7.93
270309,-5.86
4841,-1.03
84914,-7.24
128623,5.17
142716,7.93
95558,
90258,3.79
54733,-9.31
261499,-9.31
185769,11.4
150198,6.55
10710,5.17
33878,-4.48
25681,3.79
187780,-1.03
226122,
18479,2.41
143397,22.849999999999998
213940,5.23
45125,9.31
2575,-7.93
219944,
154138,0.34
10548,0.34
38955,0.65
156375,5.17
153604,
233994,-1.03
17969,-3.79
107665,3.79
78515,4.48
13578,-5.17
251434,6.55
176956,7.24
93388,5.86
18265,-6.55
259976,6.55
255554,-7.93
199954,
66415,7.24
66107,0.34
222987,1.03
7952,
15997,7.93
7769,5.17
115389,5.17
172629,14.85
40387,-7.93
168780,-0.34
203469,1.03
203333,2.790000000000001
55900,-13.71
241549,3.79
107533,-6.55
