id,qsets_normalized_tat
46616,-1.72
73975,-7.93
100923,9.31
56594,1.03
69457,4.48
113131,3.79
66852,-10.0
2848,3.1
227672,-9.31
232994,
64875,9.31
180972,3.79
66020,6.55
228474,-6.55
90687,1.03
55375,-2.41
44403,5.17
38839,9.31
100044,-2.41
97863,-10.0
134808,0.34
260843,5.17
82110,7.93
240269,10.0
236292,-0.34
118242,1.2700000000000007
276072,-3.79
80527,
220406,-4.7700000000000005
2499,0.5399999999999996
185976,-1.03
35217,9.31
219018,-7.24
77089,5.86
230314,1.72
208354,1.11
259370,-7.24
213864,-18.03
159825,0.34
275745,
257691,-5.17
108576,3.1
24908,-8.62
138707,-7.93
207944,1.72
75827,1.72
189576,1.72
75076,7.93
252933,-2.41
62301,-9.31
149860,0.7399999999999993
86244,-6.55
163969,-10.0
38201,
33614,-1.72
108498,1.72
86336,6.55
212078,-1.03
17412,-0.40000000000000124
43830,-0.34
163988,5.86
158258,-19.810000000000002
234499,-7.820000000000001
27842,-7.24
25939,9.31
278073,-11.63
194757,5.17
232771,-2.8099999999999996
228685,-8.03
145454,3.1
78105,10.0
5250,5.17
124872,5.17
22969,-4.48
242349,-9.31
26946,-1.03
143323,-9.31
113239,5.17
104710,3.2800000000000002
127205,0.34
64081,-20.83
182970,10.280000000000001
89947,5.86
179311,4.48
31169,-6.55
204198,-3.1
250745,1.03
214138,-4.48
96201,-8.62
19674,
1274,-22.130000000000003
106236,-17.6
39741,3.1
112763,-3.79
277418,7.24
125708,0.34
6819,-8.62
273855,-5.86
140910,-7.93
162895,-3.79
3927,5.86
190804,-3.1
168102,-8.62
191116,8.62
240215,
243023,-1.03
41458,9.31
91210,-8.62
80440,-17.740000000000002
71114,-4.48
218698,12.0
238783,-8.62
117880,
137330,5.17
234818,3.59
76062,-2.789999999999999
187837,10.0
267197,6.55
258456,16.77
229902,-1.72
96757,7.24
274352,-9.31
237914,-7.24
78554,1.72
254587,-3.1
138558,-8.780000000000001
149593,-8.62
234157,-1.72
176311,-9.31
38069,-1.03
192039,4.48
246296,1.7999999999999992
192876,-8.62
221254,6.55
142850,9.36
81120,8.62
263086,-7.24
244482,-11.799999999999999
42637,7.93
42837,-5.17
141158,-2.41
118659,1.72
175445,-3.79
117032,7.93
91415,-4.48
268460,10.0
162655,-0.34
57478,-10.0
98862,-10.0
179853,-27.560000000000002
198295,2.41
270851,-4.48
136846,8.62
142586,
46362,-1.4800000000000004
158294,1.72
163846,1.99
151509,-3.1
176814,5.17
256603,10.0
190210,7.93
8978,-1.03
186345,-15.959999999999999
226065,-6.55
52511,2.41
152297,8.62
64253,2.41
217817,1.2799999999999994
22692,-1.03
105635,7.93
29829,-7.24
132133,-8.62
114262,-11.450000000000001
25507,-7.440000000000001
130780,-7.93
63417,-19.04
128850,3.1
179704,-3.1
100639,-10.21
46619,13.1
187130,7.24
193550,
214348,7.24
281269,4.48
187904,-0.34
71907,-1.72
88650,5.86
198686,2.41
187166,8.62
279873,-0.34
43758,1.72
42281,
225328,-1.72
37690,-3.1700000000000013
146962,10.0
68223,
187183,3.79
76458,-3.1
51942,-5.86
211961,8.62
173749,-8.62
27405,
147525,3.1
161211,-1.03
127337,-8.62
36367,-3.1
107415,-8.62
88396,-3.79
67045,8.600000000000001
80893,0.34
37598,-3.1
162660,7.93
8428,-3.6700000000000004
157430,3.1
78914,-2.41
9993,9.37
179207,-5.86
124752,-7.93
26018,7.93
613,1.03
109083,6.9300000000000015
230096,8.62
43870,10.0
65601,-5.17
225084,8.46
119613,7.93
235993,-1.03
22488,-9.31
205886,3.1
18780,5.17
240738,7.24
107458,3.79
134083,4.48
188393,4.48
164195,0.56
217060,-6.55
46856,-8.62
233058,-3.79
107966,10.52
161515,
249754,-8.62
203072,-8.62
235250,7.24
145452,-1.03
200840,7.24
9869,12.86
279070,-5.17
115373,-3.79
212429,-2.039999999999999
60759,4.48
39391,7.93
75316,8.62
73085,-5.17
260411,0.34
271696,6.55
119299,-12.130000000000003
88772,2.41
157200,9.31
119536,6.449999999999999
64072,-1.72
45033,6.55
96174,-7.24
109847,-10.0
276095,-0.34
216808,
76089,-8.940000000000001
195730,5.86
194803,-3.79
221156,
211709,1.9799999999999993
52623,4.48
227819,8.62
165916,
477,4.140000000000001
198354,-8.62
107337,-5.86
195663,-7.24
80515,3.3600000000000008
283920,9.5
45472,-3.1
128185,9.31
150720,-4.48
273738,-9.729999999999999
41366,-22.79
110267,-8.62
222933,2.41
156035,10.7
111515,-13.629999999999999
153755,-8.379999999999999
179900,-2.41
168498,3.79
107128,-5.86
232574,4.48
42199,5.86
241122,-7.93
98789,-10.0
109429,7.93
218213,-0.34
26377,7.93
78175,3.1
5710,-1.03
222047,-2.41
214301,5.17
105271,1.03
8804,-5.86
185871,3.1
114455,-5.86
32592,
238679,-7.24
66876,
24590,-19.26
209022,20.959999999999997
185219,9.31
243822,-6.630000000000001
20674,3.1
88592,-6.55
193331,-5.17
212902,
141599,9.31
240609,-10.0
4669,-3.1
130709,-12.5
143350,9.91
193578,6.55
143606,8.040000000000001
222712,-0.34
33698,-3.1
260430,13.249999999999996
168946,5.86
58303,6.55
261606,-9.39
188225,
128059,-5.86
199109,1.72
60590,6.55
226650,5.86
198367,1.72
88191,3.1
158752,-1.03
206558,8.87
70400,-7.24
244520,3.8400000000000003
134357,0.34
243183,1.9000000000000001
180090,-10.0
210476,-18.42
42996,
155702,10.0
65887,10.0
138594,8.62
162550,
264875,-0.34
223146,-7.24
193326,7.93
175997,9.48
32797,-5.86
54925,-7.93
217180,6.55
20036,-3.1
83773,-7.330000000000001
208504,-3.79
268062,6.55
187315,2.6500000000000004
50697,7.24
81351,1.03
195168,-0.34
269976,8.62
57564,-10.0
191916,-0.09999999999999876
218213,-3.79
1677,-3.79
218815,-7.24
113835,7.93
112648,1.03
125352,-1.03
75058,-10.0
63043,
58276,1.03
262726,6.55
2041,-7.93
114618,-16.89
264546,1.72
183146,-1.03
258739,-3.1
279487,-7.93
252518,
12625,19.72
41807,-5.86
275799,-7.839999999999998
222869,-3.1
218197,-9.31
169189,0.34
207175,3.79
54980,-7.76
143452,-10.0
257676,7.6899999999999995
63441,-7.93
129882,8.62
176258,-9.31
165114,1.72
201955,0.9299999999999997
204223,5.86
255316,1.72
101413,-6.55
36852,-7.24
83122,-2.41
281612,-7.24
156629,-7.93
178915,5.17
193571,2.41
245383,5.86
245851,
72677,16.49
23062,-5.86
121987,8.62
217496,-6.55
3974,-9.549999999999999
242741,1.03
258673,3.79
273475,-2.8300000000000005
223597,3.1
31705,1.03
16992,-6.55
280840,-10.0
118847,-1.72
238477,1.72
249625,-1.72
161653,-4.48
31830,-7.93
110888,
27093,-7.93
126461,7.93
181234,3.1
12668,-6.55
185459,3.1
120345,-7.93
22619,-1.72
178619,
67491,3.2200000000000006
269016,-7.93
182217,3.1
33924,14.4
41679,4.48
171136,-5.17
64843,9.06
45063,1.03
58405,8.62
205908,
133594,
236819,-4.48
209876,5.86
35819,-8.62
223886,
97826,-10.0
180167,-0.34
131296,-0.34
197961,-3.79
129298,-3.879999999999999
95708,-2.41
255098,0.34
171020,3.79
35690,8.62
109547,-8.62
18740,7.13
271063,0.34
271954,-4.359999999999999
244903,8.62
26428,10.0
169300,-10.0
189189,-3.79
248120,1.72
159819,5.86
70355,19.130000000000003
56882,-2.41
279215,
78122,-0.34
105562,-5.17
34321,-3.46
206849,3.1
172891,-7.24
169339,-3.1999999999999993
45949,-4.130000000000001
134764,-0.34
279270,-1.72
254593,2.41
127422,-10.0
273904,4.91
69066,8.62
240120,5.17
179642,10.0
193143,-9.31
20332,
3177,-4.48
205678,-10.669999999999998
71364,-7.24
280262,-7.24
114885,-5.17
22587,-4.949999999999998
220674,5.86
143186,-8.62
194643,-1.72
9398,-0.6299999999999999
12403,-5.86
65811,15.61
215973,10.0
69802,
231839,-7.24
271747,-7.24
270789,7.93
200899,-10.0
80873,-9.31
49109,-3.79
92351,-13.520000000000001
106382,-3.1
13706,-1.2699999999999996
234197,3.79
10461,-9.31
6280,1.03
271370,5.86
165804,-7.93
160564,-7.93
80799,-2.41
2615,-7.24
47514,-7.93
180828,-7.93
52073,-1.03
104801,12.040000000000001
249859,6.55
24069,7.24
174897,1.03
47187,7.93
123085,6.55
98247,-6.55
10396,0.09000000000000044
238164,-2.9299999999999997
157322,5.17
169310,-2.41
240611,-7.93
153025,3.79
186440,-9.31
148443,-7.24
23942,8.62
119961,2.41
191330,-24.58
62021,3.79
132922,-5.17
252804,-10.0
89531,-1.03
274354,5.17
167805,0.34
116064,-14.02
35534,7.93
221507,
8455,
54137,3.1
2473,-2.41
55746,3.79
123622,6.55
34572,-0.34
84965,-4.48
127303,10.0
116637,4.16
201935,5.86
120263,-9.31
70843,-6.78
190645,-10.0
63781,-14.790000000000001
92393,-8.96
38499,-8.62
227530,0.34
275939,-4.48
251375,-10.0
156996,-1.72
48612,5.86
148165,3.79
191006,-8.62
212667,4.48
101559,-9.31
186296,-3.79
213265,
121044,-6.55
31460,-7.24
26233,-2.9200000000000004
91262,7.93
226861,-5.17
54673,5.17
222473,1.03
85235,-10.0
241658,-5.449999999999999
8727,-8.930000000000001
48019,6.55
36379,
277559,-10.0
150172,2.41
4972,-8.62
118547,-6.14
139783,0.34
44809,4.3100000000000005
215109,-7.24
200782,-4.48
278019,1.03
72378,3.79
101723,-7.010000000000001
208240,-10.47
268457,-7.93
98729,-6.55
226516,7.24
78090,
156935,7.24
252460,-4.48
146680,-8.62
222907,
137169,5.94
282317,-5.86
185384,6.55
14343,-3.48
112143,-7.24
58960,
189931,-4.81
196193,10.0
153146,-12.049999999999999
62626,5.17
16150,-1.03
196371,-7.93
277564,
186471,-11.88
178219,20.970000000000002
99568,-13.229999999999999
31872,-5.17
4095,-5.17
144840,-12.14
235375,-1.03
166352,4.48
75781,-7.93
1893,-10.0
232496,1.03
263265,-2.41
215318,-11.410000000000004
196116,-7.24
56103,-1.03
188411,-3.1
253216,-5.17
276093,0.34
31862,5.3599999999999985
121836,-3.1
56559,-9.31
239459,2.41
141475,2.62
91008,-0.19999999999999973
194172,-9.31
253358,-3.79
271388,-4.48
225308,-8.62
110457,
171007,7.24
183976,12.370000000000003
58176,-3.1
238385,-10.0
122436,9.31
280631,-3.1
174998,8.62
181362,-3.1
9719,2.77
201113,-11.35
157785,8.62
189947,-8.62
235170,-7.93
34022,-1.72
132907,-19.43
34459,-7.24
225637,9.31
177309,
182691,-7.93
45581,-10.0
275444,
78256,10.0
229137,4.48
149030,-2.41
228550,-6.55
157894,5.86
171104,10.139999999999999
129900,-3.79
28047,-9.31
36208,3.1999999999999997
147953,-3.1
263167,-9.31
84982,8.62
179506,7.24
263768,-5.86
213756,8.62
72982,-2.41
127700,-6.55
167213,4.48
66749,-10.0
126515,-1.8100000000000005
83726,8.62
80866,9.31
64084,0.5000000000000003
109667,-5.17
90164,5.86
231259,6.55
127061,5.17
149432,10.8
10035,-8.819999999999999
179336,3.1
175743,-7.93
81468,-0.8199999999999994
109869,-10.0
56379,5.17
17575,-3.79
278911,-7.93
21986,-8.62
68536,7.24
265443,8.62
256385,-8.62
6287,4.48
52169,
228680,19.71
10290,-10.0
276935,-7.93
83948,-1.7000000000000002
60042,-3.79
39285,1.03
168467,-9.89
13161,7.24
21649,-7.93
225837,-2.41
30005,-2.41
174421,4.48
120046,-7.93
210257,6.249999999999998
251671,5.86
125370,-2.41
148731,5.86
39653,-3.1
266270,
168929,-8.62
61166,0.34
253235,5.86
131066,-5.86
124172,10.0
284372,-3.79
216843,10.0
123774,5.17
132317,-10.0
228321,-3.1
17072,-7.24
129730,3.1
242403,3.8199999999999994
281073,19.72
224934,1.72
269290,-1.72
164756,2.41
25100,-7.93
242962,3.79
67343,5.17
144104,-1.03
161464,9.31
134475,-10.0
215680,-2.41
109162,10.19
240894,-1.03
209779,1.03
54186,-4.300000000000001
58509,20.04
117931,4.48
252522,
278410,
18534,-2.41
182412,-8.62
33429,-1.72
257898,7.24
24274,-4.48
89715,6.55
10929,0.34
218096,-11.79
70339,1.7199999999999993
214614,-0.34
265328,0.34
122057,-0.2199999999999993
157922,-10.0
180791,5.17
281704,-7.93
52046,-5.17
56229,-5.16
165256,
86443,0.34
93365,-5.86
220098,7.24
29868,10.0
224292,2.41
249285,-5.86
260583,-4.48
19351,10.0
146749,-13.44
66680,4.48
93474,-6.55
22400,-9.31
223758,-2.41
72419,
153220,0.26
227578,-3.1
129290,-24.330000000000002
165626,1.03
11020,7.93
115780,5.86
203476,-4.48
281727,-7.24
284059,-6.55
7343,-10.900000000000002
131526,-7.24
220129,3.79
268468,-7.93
109700,3.79
242912,5.17
205,-8.62
143129,-7.93
115901,4.96
35757,7.24
186789,4.48
23437,-2.41
202920,-7.24
90879,-8.62
199909,-7.48
31916,4.48
179525,5.38
69679,-13.430000000000001
81278,7.220000000000002
229237,7.93
282951,4.48
197397,-9.31
254560,7.24
282625,1.72
270307,-11.09
88886,7.93
44501,3.79
284613,-4.48
57467,4.48
256711,10.0
64816,-3.79
117567,5.86
254327,
54322,-1.72
115593,5.17
134957,-1.72
114793,9.81
129848,1.03
235260,-7.74
125651,5.17
131447,-1.72
275298,11.799999999999999
6360,10.0
99706,-3.79
159575,
159551,-0.34
67425,-3.79
149047,-3.79
180071,3.1
177749,9.31
90601,3.79
255315,-1.03
112980,10.200000000000001
280368,4.48
121161,
124612,2.41
83103,-3.289999999999999
77943,6.55
49120,-3.79
177181,
135530,
182569,-6.82
231069,9.31
165760,4.48
182658,2.41
205234,10.0
76814,12.85
118960,1.03
142101,1.03
267842,-3.1
123910,7.770000000000001
284787,-8.62
215458,3.79
248317,-5.17
149940,-2.41
58460,-19.970000000000002
63154,-4.48
161850,19.05
43911,3.1
238338,0.34
1182,7.93
168489,5.17
275282,
129667,-4.48
125324,-5.17
104804,6.55
69076,-5.86
272384,-6.059999999999999
208868,0.34
253459,-2.41
197688,0.34
144922,1.72
42391,
263679,-1.03
26229,
257877,5.86
147938,6.55
65456,-9.31
144447,-8.62
28257,3.79
264500,1.0399999999999987
222234,9.31
197308,
2468,
50087,7.93
120979,6.55
149739,9.31
152010,-7.24
75662,23.84
40191,-7.93
153275,9.120000000000001
84073,-8.62
147593,3.1
269395,5.86
86771,15.85
68630,-4.48
149898,-16.1
53997,7.93
60075,-7.24
139201,1.03
270324,-7.59
53212,-5.17
156670,-7.24
63560,-9.31
75251,10.0
147075,-6.55
168855,-3.9300000000000006
42657,-7.24
193576,
256121,-4.48
9411,-8.62
174476,12.34
121528,-8.62
106881,1.3500000000000005
237744,1.03
231288,7.24
168190,-1.03
50176,-3.1
23028,
88685,-10.0
110293,6.55
84127,-8.62
113452,-4.2700000000000005
97387,9.24
95672,-11.41
169506,5.17
137566,-10.0
105671,1.72
218923,-2.41
233064,5.86
61205,5.17
205935,3.1
182570,-7.93
25192,-0.34
193189,7.24
206146,1.03
113094,8.62
199699,-5.17
19319,-10.0
269314,-1.03
148332,3.1
228977,
57167,-9.31
230692,-6.55
182133,-1.03
70320,-10.0
7643,-5.86
255382,10.0
191879,-3.1
164736,-0.34
53818,1.72
232348,1.72
121862,7.24
126807,9.31
49516,-1.03
34657,-8.62
148711,-7.93
266681,4.48
214315,4.48
81341,-5.17
129839,
110438,10.0
173735,-7.24
8135,-10.0
283951,2.41
243971,1.72
239839,
256812,0.34
154291,-2.41
272609,-1.72
203419,7.24
192952,-3.1100000000000003
48092,10.0
162989,9.31
246033,0.34
30307,9.47
103440,-2.41
93113,4.48
17426,
226774,10.0
177047,5.17
161680,13.31
45068,6.55
176263,9.309999999999999
185260,10.0
283294,5.17
47208,5.17
195429,6.55
277200,0.20999999999999908
254054,3.79
172738,5.86
114838,1.72
158354,2.41
168730,-1.03
138214,-4.48
254025,-4.48
48266,5.640000000000001
218855,-1.72
143532,-10.0
225930,10.370000000000001
23357,0.34
28132,5.849999999999998
214466,-4.48
97904,-10.23
113404,1.72
145139,-5.830000000000001
135105,7.24
213811,-2.9399999999999995
167530,10.0
259944,-25.6
112440,-2.41
115105,-9.31
247449,
91127,-13.31
164579,
229832,10.0
210961,-6.55
104708,-0.34
110027,
80969,-5.86
152888,-7.93
200762,0.6200000000000001
231538,-5.86
76575,3.1
99407,-5.17
208219,
75555,-7.24
46868,-4.48
125863,-7.7299999999999995
174559,-5.86
164380,-7.24
2407,-1.03
47085,5.17
59180,-9.31
196975,-2.41
147533,-1.03
10803,2.41
25021,-5.17
120929,26.22
180864,9.31
276109,-5.86
23039,-9.31
95230,-0.5499999999999998
209185,-9.31
160619,-5.86
179918,12.26
144110,6.55
83768,-1.72
90660,5.86
46222,-7.93
71119,-0.34
194631,-3.79
3646,2.41
182857,-1.03
3619,11.89
81612,9.31
52033,0.10999999999999988
149298,3.1
229542,
30820,-5.17
191643,-1.03
283555,-0.9699999999999998
172606,-9.31
56019,3.79
125132,0.34
76203,8.62
51505,
135547,5.160000000000001
248970,-6.55
197773,1.72
42729,-5.86
136735,5.86
215693,-5.67
212132,-3.1
212633,-5.17
270271,-3.79
231596,6.55
234830,5.17
72989,-10.0
30653,-3.1
184993,-9.31
207860,-10.0
55978,0.34
66862,0.34
217574,5.86
90851,
72656,-2.41
213037,-5.17
33472,-5.17
280740,-11.84
116055,3.79
158043,8.62
108253,-2.41
175335,-4.609999999999999
9627,-7.24
233194,7.93
180255,9.920000000000002
50305,9.31
71919,1.03
95636,-7.24
70634,2.1799999999999997
12502,0.589999999999999
124213,1.03
46634,-7.93
118601,-1.72
24503,6.55
225117,-9.31
40054,3.58
112378,7.93
149251,3.79
233561,6.55
242106,-1.72
181660,-4.41
225551,-3.25
47356,-3.1
174690,6.55
239554,-8.62
41315,-1.72
116200,-6.55
154851,4.48
68201,10.419999999999998
278562,4.48
103191,5.86
4045,10.029999999999998
177626,
87856,-10.0
157637,1.03
217934,5.17
223623,-0.9200000000000004
186224,
32886,2.41
90771,10.0
255359,2.7
144517,0.34
258557,2.41
86627,-3.170000000000001
13373,13.22
278840,-7.93
270472,1.5300000000000007
179203,5.86
208102,-5.86
142009,7.24
235048,5.86
29861,2.41
239753,-1.72
210337,-6.55
170222,2.41
104151,8.62
138290,-1.03
230572,5.17
47072,7.24
28240,-14.24
73878,5.38
280609,0.34
106998,-3.79
57694,-11.9
90898,9.31
276973,5.86
239650,8.379999999999999
172284,-2.41
73968,-4.439999999999999
217178,-29.85
173972,-7.24
5878,6.55
235142,-10.0
69350,-9.31
51388,
10409,-13.589999999999998
10173,-1.72
124651,3.79
135487,-7.93
258443,-6.55
195880,6.55
65393,9.31
262928,-10.0
171043,23.72
14197,-7.93
10651,-3.79
241927,-4.48
230152,9.709999999999999
75033,0.34
183356,1.03
101162,1.03
27596,-1.03
162334,7.93
63922,0.34
4481,
277415,-8.62
160381,1.03
17547,-7.24
226657,4.48
200430,1.72
275499,-10.0
54630,-0.34
247738,6.55
110368,4.48
235619,-10.0
232474,-10.24
115263,6.55
1605,3.79
62295,20.790000000000003
54933,-5.17
145370,
56676,-3.79
147578,-7.93
134076,
226891,-3.79
68395,5.17
14932,8.24
175738,2.41
263981,-0.34
33315,-7.24
165435,-8.62
223949,-7.24
120919,3.79
235874,10.0
52287,5.86
229843,-5.86
66355,-1.72
159315,-7.929999999999999
80880,-1.03
8283,3.1
80802,-4.48
107120,1.03
194624,6.55
197157,-3.1
54530,-1.72
135222,-5.86
124844,-4.48
72170,
176278,-8.67
188619,-7.24
34985,-1.72
155213,-6.55
170372,-3.79
203677,-3.79
20016,3.4299999999999997
178875,-8.62
54853,-7.24
170423,-3.1
160696,1.03
276870,10.0
105055,-2.41
137087,10.0
216099,3.79
172547,
193506,8.62
138985,-8.120000000000001
38072,-3.79
254731,1.7500000000000018
92383,-7.93
116054,-1.03
34412,-0.34
98204,
232398,1.03
154810,17.29
258032,-11.74
186645,-10.0
51331,-4.48
162744,-9.31
275613,-3.1
34638,-2.41
149846,
159457,7.24
229100,
173634,3.1
177851,3.1
128555,7.93
79996,-7.959999999999999
29,-5.86
26285,-7.93
250984,-3.1
83569,-6.55
27938,7.24
171331,0.34
242922,-5.17
